,id_EXIST,lang,tweet,number_annotators,annotators,gender_annotators,age_annotators,ethnicities_annotators,study_levels_annotators,countries_annotators,labels_task1,split,labels_list,majority_label,label
0,100292,es,"@remolachanews Otro abuso mas de parte de Jetblue a los dominicanos. Y peor aun, con un niño.",6,"['Annotator_187', 'Annotator_188', 'Annotator_189', 'Annotator_190', 'Annotator_191', 'Annotator_192']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Spain', 'Portugal', 'Portugal', 'Mexico', 'Spain', 'Mexico']","['NO', 'NO', 'YES', 'NO', 'NO', 'NO']",TRAIN_ES,"['NO', 'NO', 'YES', 'NO', 'NO', 'NO']",NO,0
1,100271,es,"@travelogue_ Todo se reduce a no abusar de tus derechos y violentar los de otros. Mi posición es lógica, un policía es tan humano como yo y tiene derecho a defender su vida si está en peligro. Tú afirmas que por ser policía tiene que dejar que un “manifestante” le haga lo que quiera.",6,"['Annotator_187', 'Annotator_188', 'Annotator_189', 'Annotator_190', 'Annotator_191', 'Annotator_192']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Spain', 'Portugal', 'Portugal', 'Mexico', 'Spain', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",TRAIN_ES,"['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",NO,0
2,100150,es,"@suletl Sí, ya sabemos que ""no todos"" #notallmen, pero los suficientes para hacer mêmes 😌",6,"['Annotator_295', 'Annotator_296', 'Annotator_297', 'Annotator_298', 'Annotator_299', 'Annotator_300']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Portugal', 'Spain', 'Portugal', 'Italy', 'Mexico']","['YES', 'NO', 'NO', 'NO', 'YES', 'NO']",TRAIN_ES,"['YES', 'NO', 'NO', 'NO', 'YES', 'NO']",NO,0
3,101189,es,"Este día es para visibilizar y concientizar sobre la doble discriminación que sufren las niñas por #género y por su edad.📌 Es sustancial trabajar con nuestras niñas y niños para fomentar la #igualdad y el pleno desarrollo de #derechos, sin importar el género. (2/3)",6,"['Annotator_103', 'Annotator_104', 'Annotator_105', 'Annotator_106', 'Annotator_107', 'Annotator_108']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Less than high school diploma']","['Mexico', 'Spain', 'Italy', 'Spain', 'United Kingdom', 'Chile']","['NO', 'YES', 'YES', 'YES', 'YES', 'YES']",TRAIN_ES,"['NO', 'YES', 'YES', 'YES', 'YES', 'YES']",YES,1
4,102038,es,"En serio, por qué siempre tienen que hablar de eso lol ksksika, las chicas no pueden tener nada bueno pq dicen ""BBC NO ESTABA EN BANCA ROTA?"" superen https://t.co/DPsl5pERcE",6,"['Annotator_115', 'Annotator_116', 'Annotator_117', 'Annotator_118', 'Annotator_119', 'Annotator_120']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Poland', 'Mexico', 'Chile', 'Italy', 'United Kingdom', 'Spain']","['YES', 'YES', 'YES', 'YES', 'YES', 'NO']",TRAIN_ES,"['YES', 'YES', 'YES', 'YES', 'YES', 'NO']",YES,1
5,100799,es,Qué mona. Lo que me flipa es que entienda cisgénero. https://t.co/3yLXiRyK2p,6,"['Annotator_25', 'Annotator_26', 'Annotator_27', 'Annotator_28', 'Annotator_29', 'Annotator_30']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Multiracial', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Master’s degree', 'High school degree or equivalent']","['United Kingdom', 'Mexico', 'Poland', 'Spain', 'Portugal', 'Portugal']","['YES', 'YES', 'YES', 'NO', 'NO', 'NO']",TRAIN_ES,"['YES', 'YES', 'YES', 'NO', 'NO', 'NO']",NO,0
6,102343,es,"No se en que momento me agarro la costumbre, de dormir abrazando la almohada si no ,no puedo dormir 🤣",6,"['Annotator_355', 'Annotator_356', 'Annotator_357', 'Annotator_358', 'Annotator_359', 'Annotator_360']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Doctorate', 'Bachelor’s degree']","['Mexico', 'Chile', 'Serbia', 'Spain', 'Spain', 'Spain']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",TRAIN_ES,"['NO', 'NO', 'NO', 'NO', 'NO', 'NO']",NO,0
7,101953,es,"René Vásquez deplora Comisión Nacional Electoral de la ADP le habían cercenado el derecho a elegir y ser elegido y a la igualdad entre las partes, establecido en los artículos 22 y 39 de la constitución de la República.Santo Domingo.  #Nacionaleshttps://t.co/ZmE2aTM3An https://t.co/uwfcwKJmqs",6,"['Annotator_7', 'Annotator_8', 'Annotator_9', 'Annotator_10', 'Annotator_11', 'Annotator_12']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Black or African American', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree']","['United Kingdom', 'Mexico', 'United States', 'Portugal', 'Chile', 'Mexico']","['YES', 'NO', 'NO', 'NO', 'NO', 'NO']",TRAIN_ES,"['YES', 'NO', 'NO', 'NO', 'NO', 'NO']",NO,0
8,101836,es,@johnsol83 @petrogustavo @GustavoBolivar Es el mismo sentimiento q me generó Angela cuando todos la querían 😔😔,6,"['Annotator_7', 'Annotator_8', 'Annotator_9', 'Annotator_10', 'Annotator_11', 'Annotator_12']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Black or African American', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree']","['United Kingdom', 'Mexico', 'United States', 'Portugal', 'Chile', 'Mexico']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']",TRAIN_ES,"['NO', 'NO', 'NO', 'YES', 'NO', 'NO']",NO,0
9,101848,es,@hortenmari El coyoterismo o el apoyo de las ONGs amigas de la SOROSirdad.El anarquista mayor de la Open_Society_Fundation.Ha apoyado por años a:Prensa servilSeparatismosNeoindigenismoHembrismoGlobalismoCiudadanía universalLGTBIsismoPanteismoEcumenismoCatastrofismo y más♻️🤮💩 https://t.co/t54gxX85FS,6,"['Annotator_127', 'Annotator_128', 'Annotator_129', 'Annotator_130', 'Annotator_131', 'Annotator_132']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent']","['Mexico', 'Chile', 'United States', 'Macedonia, The Former Yugoslav Republic of', 'Spain', 'Spain']","['YES', 'YES', 'YES', 'NO', 'YES', 'YES']",TRAIN_ES,"['YES', 'YES', 'YES', 'NO', 'YES', 'YES']",YES,1
